,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
127,Silver Medal,2,2021-07-26 00:00:00.0,,DENG Yu-Cheng,,../../../en/results/archery/athlete-profile-n1324047-deng-yu-cheng.htm,TPE,ARC,Men's Team,Chinese Taipei,Archery
128,Bronze Medal,3,2021-07-26 00:00:00.0,FURUKAWA T,FURUKAWA Takaharu,M,../../../en/results/archery/athlete-profile-n1313434-furukawa-takaharu.htm,JPN,ARC,Men's Team,Japan,Archery
129,Bronze Medal,3,2021-07-26 00:00:00.0,KAWATA Y,KAWATA Yuki,M,../../../en/results/archery/athlete-profile-n1313435-kawata-yuki.htm,JPN,ARC,Men's Team,Japan,
130,Bronze Medal,3,2021-07-26 00:00:00.0,MUTO H,MUTO Hiroki,,../../../en/results/archery/athlete-profile-n1313432-muto-hiroki.htm,JPN,ARC,Men's Team,Japan,Archery
131,Gold Medal,1,2021-07-26 00:00:00.0,,ABLIAZIN Denis,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
132,Gold Medal,1,2021-07-26 00:00:00.0,,BELYAVSKIY David,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406251-belyavskiy-david.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
133,Gold Medal,1,2021-07-26 00:00:00.0,,DALALOYAN Artur,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406253-dalaloyan-artur.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
134,Gold Medal,1,2021-07-26 00:00:00.0,,NAGORNYY Nikita,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406257-nagornyy-nikita.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
135,Silver Medal,2,2021-07-26 00:00:00.0,KAYA K,KAYA Kazuma,,../../../en/results/artistic-gymnastics/athlete-profile-n1318235-kaya-kazuma.htm,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
136,Silver Medal,2,2021-07-26 00:00:00.0,,TANIGAWA Wataru,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318236-tanigawa-wataru.htm,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
137,Silver Medal,2,2021-07-26 00:00:00.0,KITAZONO T,KITAZONO Takeru,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318259-kitazono-takeru.htm,JPN,GAR,Men's Team,Japan,
138,Silver Medal,2,2021-07-26 00:00:00.0,HASHIMOTO D,HASHIMOTO Daiki,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318265-hashimoto-daiki.htm,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
139,Bronze Medal,3,2021-07-26 00:00:00.0,,LIN Chaopan,M,../../../en/results/artistic-gymnastics/athlete-profile-n1323022-lin-chaopan.htm,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
140,Bronze Medal,3,2021-07-26 00:00:00.0,SUN W,SUN Wei,M,../../../en/results/artistic-gymnastics/athlete-profile-n1323036-sun-wei.htm,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
141,Bronze Medal,3,2021-07-26 00:00:00.0,XIAO R,XIAO Ruoteng,,../../../en/results/artistic-gymnastics/athlete-profile-n1318476-xiao-ruoteng.htm,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
142,Bronze Medal,3,2021-07-26 00:00:00.0,ZOU J,ZOU Jingyuan,,../../../en/results/artistic-gymnastics/athlete-profile-n1323057-zou-jingyuan.htm,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
143,Gold Medal,1,2021-07-26 00:00:00.0,SAVSEK B,SAVSEK Benjamin,M,../../../en/results/canoe-slalom/athlete-profile-n1429559-savsek-benjamin.htm,SLO,CSL,Men's Canoe,Slovenia,Canoe Slalom
144,Silver Medal,2,2021-07-26 00:00:00.0,ROHAN L,ROHAN Lukas,M,../../../en/results/canoe-slalom/athlete-profile-n1402108-rohan-lukas.htm,CZE,CSL,Men's Canoe,Czech Republic,Canoe Slalom
145,Bronze Medal,3,2021-07-26 00:00:00.0,TASIADIS S,TASIADIS Sideris,,../../../en/results/canoe-slalom/athlete-profile-n1333389-tasiadis-sideris.htm,GER,CSL,Men's Canoe,Germany,Canoe Slalom
146,Gold Medal,1,2021-07-26 00:00:00.0,PIDCOCK T,PIDCOCK Thomas,M,../../../en/results/cycling-mountain-bike/athlete-profile-n1474966-pidcock-thomas.htm,GBR,MTB,Men's Cross-country,Great Britain,
147,Silver Medal,2,2021-07-26 00:00:00.0,FLUECKIGER M,FLUECKIGER Mathias,M,../../../en/results/cycling-mountain-bike/athlete-profile-n1465731-flueckiger-mathias.htm,SUI,MTB,Men's Cross-country,Switzerland,Cycling Mountain Bike
148,Bronze Medal,3,2021-07-26 00:00:00.0,,VALERO SERRANO David,,../../../en/results/cycling-mountain-bike/athlete-profile-n1341906-valero-serrano-david.htm,ESP,MTB,Men's Cross-country,Spain,Cycling Mountain Bike
149,Gold Medal,1,2021-07-26 00:00:00.0,DALEY T,DALEY Thomas,M,../../../en/results/diving/athlete-profile-n1444126-daley-thomas.htm,GBR,DIV,Men's Synchronised 10m Platform,Great Britain,Diving
150,Gold Medal,1,2021-07-26 00:00:00.0,LEE M,LEE Matty,,../../../en/results/diving/athlete-profile-n1444130-lee-matty.htm,GBR,DIV,Men's Synchronised 10m Platform,Great Britain,
151,Silver Medal,2,2021-07-26 00:00:00.0,CAO Y,CAO Yuan,M,../../../en/results/diving/athlete-profile-n1329531-cao-yuan.htm,CHN,DIV,Men's Synchronised 10m Platform,People's Republic of China,Diving
152,Silver Medal,2,2021-07-26 00:00:00.0,CHEN A,CHEN Aisen,M,../../../en/results/diving/athlete-profile-n1329918-chen-aisen.htm,CHN,DIV,Men's Synchronised 10m Platform,People's Republic of China,Diving
153,Bronze Medal,3,2021-07-26 00:00:00.0,BONDAR A,BONDAR Aleksandr,,../../../en/results/diving/athlete-profile-n1406332-bondar-aleksandr.htm,ROC,DIV,Men's Synchronised 10m Platform,ROC,
154,Bronze Medal,3,2021-07-26 00:00:00.0,,MINIBAEV Viktor,,../../../en/results/diving/athlete-profile-n1406344-minibaev-viktor.htm,ROC,DIV,Men's Synchronised 10m Platform,ROC,Diving
155,Gold Medal,1,2021-07-26 00:00:00.0,CHEUNG KL,CHEUNG Ka Long,M,../../../en/results/fencing/athlete-profile-n1431181-cheung-ka-long.htm,HKG,FEN,Men's Foil Individual,"Hong Kong, China",Fencing
156,Silver Medal,2,2021-07-26 00:00:00.0,GAROZZO D,GAROZZO Daniele,M,../../../en/results/fencing/athlete-profile-n1398516-garozzo-daniele.htm,ITA,FEN,Men's Foil Individual,Italy,Fencing
157,Bronze Medal,3,2021-07-26 00:00:00.0,CHOUPENITCH A,CHOUPENITCH Alexander,M,../../../en/results/fencing/athlete-profile-n1408686-choupenitch-alexander.htm,CZE,FEN,Men's Foil Individual,Czech Republic,
158,Gold Medal,1,2021-07-26 00:00:00.0,POZDNIAKOVA S,POZDNIAKOVA Sofia,W,../../../en/results/fencing/athlete-profile-n1428153-pozdniakova-sofia.htm,ROC,FEN,Women's Sabre Individual,ROC,
159,Silver Medal,2,2021-07-26 00:00:00.0,VELIKAYA S,VELIKAYA Sofya,,../../../en/results/fencing/athlete-profile-n1428151-velikaya-sofya.htm,ROC,FEN,Women's Sabre Individual,ROC,Fencing
160,Bronze Medal,3,2021-07-26 00:00:00.0,,BRUNET Manon,,../../../en/results/fencing/athlete-profile-n1351055-brunet-manon.htm,FRA,FEN,Women's Sabre Individual,France,Fencing
161,Gold Medal,1,2021-07-26 00:00:00.0,,ONO Shohei,,../../../en/results/judo/athlete-profile-n1315344-ono-shohei.htm,JPN,JUD,Men -73 kg,Japan,Judo
162,Silver Medal,2,2021-07-26 00:00:00.0,SHAVDATUASHVILI L,SHAVDATUASHVILI Lasha,M,../../../en/results/judo/athlete-profile-n1286459-shavdatuashvili-lasha.htm,GEO,JUD,Men -73 kg,Georgia,Judo
163,Bronze Medal,3,2021-07-26 00:00:00.0,AN C,AN Changrim,M,../../../en/results/judo/athlete-profile-n1323212-an-changrim.htm,KOR,JUD,Men -73 kg,Republic of Korea,
164,Bronze Medal,3,2021-07-26 00:00:00.0,TSEND-OCHIR T,TSEND-OCHIR Tsogtbaatar,M,../../../en/results/judo/athlete-profile-n1323961-tsend-ochir-tsogtbaatar.htm,MGL,JUD,Men -73 kg,Mongolia,Judo
165,Gold Medal,1,2021-07-26 00:00:00.0,GJAKOVA N,GJAKOVA Nora,,../../../en/results/judo/athlete-profile-n1327870-gjakova-nora.htm,KOS,JUD,Women -57 kg,Kosovo,Judo
166,Silver Medal,2,2021-07-26 00:00:00.0,CYSIQUE SL,CYSIQUE Sarah Leonie,,../../../en/results/judo/athlete-profile-n1403695-cysique-sarah-leonie.htm,FRA,JUD,Women -57 kg,France,Judo
167,Bronze Medal,3,2021-07-26 00:00:00.0,KLIMKAIT J,KLIMKAIT Jessica,,../../../en/results/judo/athlete-profile-n1433444-klimkait-jessica.htm,CAN,JUD,Women -57 kg,Canada,
168,Bronze Medal,3,2021-07-26 00:00:00.0,YOSHIDA T,YOSHIDA Tsukasa,W,../../../en/results/judo/athlete-profile-n1315322-yoshida-tsukasa.htm,JPN,JUD,Women -57 kg,Japan,
169,Gold Medal,1,2021-07-26 00:00:00.0,HANCOCK V,HANCOCK Vincent,,../../../en/results/shooting/athlete-profile-n1335413-hancock-vincent.htm,USA,SHO,Skeet Men,United States of America,Shooting
170,Silver Medal,2,2021-07-26 00:00:00.0,HANSEN J,HANSEN Jesper,,../../../en/results/shooting/athlete-profile-n1366749-hansen-jesper.htm,DEN,SHO,Skeet Men,Denmark,Shooting
171,Bronze Medal,3,2021-07-26 00:00:00.0,ALRASHIDI A,ALRASHIDI Abdullah,,../../../en/results/shooting/athlete-profile-n1895506-alrashidi-abdullah.htm,KUW,SHO,Skeet Men,Kuwait,Shooting
172,Gold Medal,1,2021-07-26 00:00:00.0,ENGLISH A,ENGLISH Amber,W,../../../en/results/shooting/athlete-profile-n1335325-english-amber.htm,USA,SHO,Skeet Women,United States of America,
173,Silver Medal,2,2021-07-26 00:00:00.0,BACOSI D,BACOSI Diana,,../../../en/results/shooting/athlete-profile-n1351194-bacosi-diana.htm,ITA,SHO,Skeet Women,Italy,Shooting
174,Bronze Medal,3,2021-07-26 00:00:00.0,,WEI Meng,W,../../../en/results/shooting/athlete-profile-n1302164-wei-meng.htm,CHN,SHO,Skeet Women,People's Republic of China,
175,Gold Medal,1,2021-07-26 00:00:00.0,,NISHIYA Momiji,,../../../en/results/skateboarding/athlete-profile-n1315689-nishiya-momiji.htm,JPN,SKB,Women's Street,Japan,
176,Silver Medal,2,2021-07-26 00:00:00.0,LEAL R,LEAL Rayssa,,../../../en/results/skateboarding/athlete-profile-n1351770-leal-rayssa.htm,BRA,SKB,Women's Street,Brazil,Skateboarding
177,Bronze Medal,3,2021-07-26 00:00:00.0,,NAKAYAMA Funa,W,../../../en/results/skateboarding/athlete-profile-n1315686-nakayama-funa.htm,JPN,SKB,Women's Street,Japan,Skateboarding
178,Gold Medal,1,2021-07-26 00:00:00.0,PEATY A,PEATY Adam,,../../../en/results/swimming/athlete-profile-n1444186-peaty-adam.htm,GBR,SWM,Men's 100m Breaststroke,Great Britain,Swimming
179,Silver Medal,2,2021-07-26 00:00:00.0,KAMMINGA A,KAMMINGA Arno,,../../../en/results/swimming/athlete-profile-n1467428-kamminga-arno.htm,NED,SWM,Men's 100m Breaststroke,Netherlands,
180,Bronze Medal,3,2021-07-26 00:00:00.0,MARTINENGHI N,MARTINENGHI Nicolo,M,../../../en/results/swimming/athlete-profile-n1350375-martinenghi-nicolo.htm,ITA,SWM,Men's 100m Breaststroke,Italy,
181,Gold Medal,1,2021-07-26 00:00:00.0,CURRY B,CURRY Brooks,M,../../../en/results/swimming/athlete-profile-n1869707-curry-brooks.htm,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,
182,Gold Medal,1,2021-07-26 00:00:00.0,,DRESSEL Caeleb,M,../../../en/results/swimming/athlete-profile-n1302244-dressel-caeleb.htm,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
183,Gold Medal,1,2021-07-26 00:00:00.0,BECKER B,BECKER Bowen,,../../../en/results/swimming/athlete-profile-n1302235-becker-bowen.htm,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
184,Gold Medal,1,2021-07-26 00:00:00.0,,PIERONI Blake,,../../../en/results/swimming/athlete-profile-n1302339-pieroni-blake.htm,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
185,Gold Medal,1,2021-07-26 00:00:00.0,APPLE Z,APPLE Zach,M,../../../en/results/swimming/athlete-profile-n1302461-apple-zach.htm,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
186,Silver Medal,2,2021-07-26 00:00:00.0,CECCON T,CECCON Thomas,M,../../../en/results/swimming/athlete-profile-n1343280-ceccon-thomas.htm,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,
187,Silver Medal,2,2021-07-26 00:00:00.0,,FRIGO Manuel,,../../../en/results/swimming/athlete-profile-n1350382-frigo-manuel.htm,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
188,Silver Medal,2,2021-07-26 00:00:00.0,ZAZZERI L,ZAZZERI Lorenzo,M,../../../en/results/swimming/athlete-profile-n1350385-zazzeri-lorenzo.htm,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
189,Silver Medal,2,2021-07-26 00:00:00.0,CONDORELLI S,CONDORELLI Santo,M,../../../en/results/swimming/athlete-profile-n1343283-condorelli-santo.htm,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
190,Silver Medal,2,2021-07-26 00:00:00.0,MIRESSI A,MIRESSI Alessandro,M,../../../en/results/swimming/athlete-profile-n1343287-miressi-alessandro.htm,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
191,Bronze Medal,3,2021-07-26 00:00:00.0,CHALMERS K,CHALMERS Kyle,M,../../../en/results/swimming/athlete-profile-n1482862-chalmers-kyle.htm,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
192,Bronze Medal,3,2021-07-26 00:00:00.0,GRAHAM A,GRAHAM Alexander,M,../../../en/results/swimming/athlete-profile-n1482864-graham-alexander.htm,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
193,Bronze Medal,3,2021-07-26 00:00:00.0,INCERTI Z,INCERTI Zac,,../../../en/results/swimming/athlete-profile-n1482856-incerti-zac.htm,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
194,Bronze Medal,3,2021-07-26 00:00:00.0,McEVOY C,McEVOY Cameron,,../../../en/results/swimming/athlete-profile-n1482868-mcevoy-cameron.htm,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
195,Bronze Medal,3,2021-07-26 00:00:00.0,TEMPLE M,TEMPLE Matthew,,../../../en/results/swimming/athlete-profile-n1482903-temple-matthew.htm,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
196,Gold Medal,1,2021-07-26 00:00:00.0,MACNEIL M,MACNEIL Margaret,W,../../../en/results/swimming/athlete-profile-n1459652-macneil-margaret.htm,CAN,SWM,Women's 100m Butterfly,Canada,Swimming
197,Silver Medal,2,2021-07-26 00:00:00.0,ZHANG Y,ZHANG Yufei,,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm,CHN,SWM,Women's 100m Butterfly,People's Republic of China,Swimming
198,Bronze Medal,3,2021-07-26 00:00:00.0,McKEON E,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,SWM,Women's 100m Butterfly,Australia,Swimming
199,Gold Medal,1,2021-07-26 00:00:00.0,TITMUS A,TITMUS Ariarne,,../../../en/results/swimming/athlete-profile-n1482877-titmus-ariarne.htm,AUS,SWM,Women's 400m Freestyle,Australia,Swimming
200,Silver Medal,2,2021-07-26 00:00:00.0,LEDECKY K,LEDECKY Kathleen,W,../../../en/results/swimming/athlete-profile-n1302300-ledecky-kathleen.htm,USA,SWM,Women's 400m Freestyle,United States of America,Swimming
201,Bronze Medal,3,2021-07-26 00:00:00.0,LI B,LI Bingjie,W,../../../en/results/swimming/athlete-profile-n1311341-li-bingjie.htm,CHN,SWM,Women's 400m Freestyle,People's Republic of China,Swimming
202,Gold Medal,1,2021-07-26 00:00:00.0,MIZUTANI J,MIZUTANI Jun,,../../../en/results/table-tennis/athlete-profile-n1316123-mizutani-jun.htm,JPN,TTE,Mixed Doubles,Japan,
203,Gold Medal,1,2021-07-26 00:00:00.0,ITO M,ITO Mima,X,../../../en/results/table-tennis/athlete-profile-n1316127-ito-mima.htm,JPN,TTE,Mixed Doubles,Japan,Table Tennis
204,Silver Medal,2,2021-07-26 00:00:00.0,XU X,XU Xin,X,../../../en/results/table-tennis/athlete-profile-n1321068-xu-xin.htm,CHN,TTE,Mixed Doubles,People's Republic of China,Table Tennis
205,Silver Medal,2,2021-07-26 00:00:00.0,LIU S,LIU Shiwen,X,../../../en/results/table-tennis/athlete-profile-n1322024-liu-shiwen.htm,CHN,TTE,Mixed Doubles,People's Republic of China,Table Tennis
206,Bronze Medal,3,2021-07-26 00:00:00.0,LIN YJ,LIN Yun Ju,,../../../en/results/table-tennis/athlete-profile-n1338649-lin-yun-ju.htm,TPE,TTE,Mixed Doubles,Chinese Taipei,Table Tennis
207,Bronze Medal,3,2021-07-26 00:00:00.0,,CHENG I Ching,,../../../en/results/table-tennis/athlete-profile-n1338655-cheng-i-ching.htm,TPE,TTE,Mixed Doubles,Chinese Taipei,Table Tennis
208,Gold Medal,1,2021-07-26 00:00:00.0,KHRAMTCOV M,KHRAMTCOV Maksim,M,../../../en/results/taekwondo/athlete-profile-n1428979-khramtcov-maksim.htm,ROC,TKW,Men -80kg,ROC,Taekwondo
209,Silver Medal,2,2021-07-26 00:00:00.0,ELSHARABATY S,ELSHARABATY Saleh,,../../../en/results/taekwondo/athlete-profile-n1344971-elsharabaty-saleh.htm,JOR,TKW,Men -80kg,Jordan,Taekwondo
210,Bronze Medal,3,2021-07-26 00:00:00.0,KANAET T,KANAET Toni,,../../../en/results/taekwondo/athlete-profile-n1383817-kanaet-toni.htm,CRO,TKW,Men -80kg,Croatia,Taekwondo
211,Bronze Medal,3,2021-07-26 00:00:00.0,,EISSA Seif,,../../../en/results/taekwondo/athlete-profile-n1312994-eissa-seif.htm,EGY,TKW,Men -80kg,Egypt,Taekwondo
212,Gold Medal,1,2021-07-26 00:00:00.0,JELIC M,JELIC Matea,,../../../en/results/taekwondo/athlete-profile-n1383819-jelic-matea.htm,CRO,TKW,Women -67kg,Croatia,
213,Silver Medal,2,2021-07-26 00:00:00.0,WILLIAMS L,WILLIAMS Lauren,,../../../en/results/taekwondo/athlete-profile-n1440126-williams-lauren.htm,GBR,TKW,Women -67kg,Great Britain,Taekwondo
214,Bronze Medal,3,2021-07-26 00:00:00.0,GBAGBI R,GBAGBI Ruth,,../../../en/results/taekwondo/athlete-profile-n1323717-gbagbi-ruth.htm,CIV,TKW,Women -67kg,Côte d'Ivoire,Taekwondo
215,Bronze Medal,3,2021-07-26 00:00:00.0,MALAK H,MALAK Hedaya,W,../../../en/results/taekwondo/athlete-profile-n1313024-malak-hedaya.htm,EGY,TKW,Women -67kg,Egypt,
216,Gold Medal,1,2021-07-26 00:00:00.0,BLUMMENFELT K,BLUMMENFELT Kristian,,../../../en/results/triathlon/athlete-profile-n1343606-blummenfelt-kristian.htm,NOR,TRI,Men's Individual,Norway,Triathlon
217,Silver Medal,2,2021-07-26 00:00:00.0,YEE A,YEE Alex,M,../../../en/results/triathlon/athlete-profile-n1444256-yee-alex.htm,GBR,TRI,Men's Individual,Great Britain,Triathlon
218,Bronze Medal,3,2021-07-26 00:00:00.0,WILDE H,WILDE Hayden,M,../../../en/results/triathlon/athlete-profile-n1475129-wilde-hayden.htm,NZL,TRI,Men's Individual,New Zealand,Triathlon
219,Gold Medal,1,2021-07-26 00:00:00.0,DIAZ H,DIAZ Hidilyn,W,../../../en/results/weightlifting/athlete-profile-n1465120-diaz-hidilyn.htm,PHI,WLF,Women's 55kg,Philippines,Weightlifting
220,Silver Medal,2,2021-07-26 00:00:00.0,LIAO Q,LIAO Qiuyun,,../../../en/results/weightlifting/athlete-profile-n1310365-liao-qiuyun.htm,CHN,WLF,Women's 55kg,People's Republic of China,Weightlifting
221,Bronze Medal,3,2021-07-26 00:00:00.0,CHINSHANLO Z,CHINSHANLO Zulfiya,,../../../en/results/weightlifting/athlete-profile-n1306356-chinshanlo-zulfiya.htm,KAZ,WLF,Women's 55kg,Kazakhstan,Weightlifting
222,Gold Medal,1,2021-07-27 00:00:00.0,AKHAIMOVA L,AKHAIMOVA Liliia,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406265-akhaimova-liliia.htm,ROC,GAR,Women's Team,ROC,
223,Gold Medal,1,2021-07-27 00:00:00.0,MELNIKOVA A,MELNIKOVA Angelina,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406270-melnikova-angelina.htm,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
224,Gold Medal,1,2021-07-27 00:00:00.0,URAZOVA V,URAZOVA Vladislava,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406274-urazova-vladislava.htm,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
225,Gold Medal,1,2021-07-27 00:00:00.0,LISTUNOVA V,LISTUNOVA Viktoriia,,../../../en/results/artistic-gymnastics/athlete-profile-n1406269-listunova-viktoriia.htm,ROC,GAR,Women's Team,ROC,
226,Silver Medal,2,2021-07-27 00:00:00.0,Mc CALLUM G,Mc CALLUM Grace,,../../../en/results/artistic-gymnastics/athlete-profile-n1348666-mc-callum-grace.htm,USA,GAR,Women's Team,United States of America,
227,Silver Medal,2,2021-07-27 00:00:00.0,LEE S,LEE Sunisa,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348724-lee-sunisa.htm,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
228,Silver Medal,2,2021-07-27 00:00:00.0,CHILES J,CHILES Jordan,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348674-chiles-jordan.htm,USA,GAR,Women's Team,United States of America,
229,Silver Medal,2,2021-07-27 00:00:00.0,BILES S,BILES Simone,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348720-biles-simone.htm,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
230,Bronze Medal,3,2021-07-27 00:00:00.0,,GADIROVA Jennifer,W,../../../en/results/artistic-gymnastics/athlete-profile-n1467530-gadirova-jennifer.htm,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
231,Bronze Medal,3,2021-07-27 00:00:00.0,GADIROVA J,GADIROVA Jessica,,../../../en/results/artistic-gymnastics/athlete-profile-n1467531-gadirova-jessica.htm,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
232,Bronze Medal,3,2021-07-27 00:00:00.0,KINSELLA A,KINSELLA Alice,W,../../../en/results/artistic-gymnastics/athlete-profile-n1467536-kinsella-alice.htm,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
233,Bronze Medal,3,2021-07-27 00:00:00.0,MORGAN A,MORGAN Amelie,W,../../../en/results/artistic-gymnastics/athlete-profile-n1467537-morgan-amelie.htm,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
234,Gold Medal,1,2021-07-27 00:00:00.0,UENO Y,UENO Yukiko,,../../../en/results/baseball-softball/athlete-profile-n1313709-ueno-yukiko.htm,JPN,BSB,Softball,Japan,Baseball/Softball
235,Gold Medal,1,2021-07-27 00:00:00.0,GOTO M,GOTO Miu,,../../../en/results/baseball-softball/athlete-profile-n1313712-goto-miu.htm,JPN,BSB,Softball,Japan,Baseball/Softball
236,Gold Medal,1,2021-07-27 00:00:00.0,FUJITA Y,FUJITA Yamato,W,../../../en/results/baseball-softball/athlete-profile-n1313714-fujita-yamato.htm,JPN,BSB,Softball,Japan,Baseball/Softball
237,Gold Medal,1,2021-07-27 00:00:00.0,AGATSUMA H,AGATSUMA Haruka,,../../../en/results/baseball-softball/athlete-profile-n1313716-agatsuma-haruka.htm,JPN,BSB,Softball,Japan,Baseball/Softball
238,Gold Medal,1,2021-07-27 00:00:00.0,KIYOHARA N,KIYOHARA Nayu,,../../../en/results/baseball-softball/athlete-profile-n1313717-kiyohara-nayu.htm,JPN,BSB,Softball,Japan,Baseball/Softball
239,Gold Medal,1,2021-07-27 00:00:00.0,,ATSUMI Mana,,../../../en/results/baseball-softball/athlete-profile-n1313718-atsumi-mana.htm,JPN,BSB,Softball,Japan,Baseball/Softball
240,Gold Medal,1,2021-07-27 00:00:00.0,ICHIGUCHI Y,ICHIGUCHI Yuka,W,../../../en/results/baseball-softball/athlete-profile-n1313719-ichiguchi-yuka.htm,JPN,BSB,Softball,Japan,Baseball/Softball
